pid, tgid, active partition, task partition, time, 10240:cf2cf7b8
385,385,0,0,4294913139,
3,3,0,0,4294913140,
384,384,0,0,4294913140,
3,3,0,0,4294913141,
385,385,0,0,4294913141,
3,3,0,0,4294913142,
384,384,0,0,4294913142,
3,3,0,0,4294913143,
385,385,0,0,4294913143,
3,3,0,0,4294913144,
384,384,0,0,4294913144,
3,3,0,0,4294913145,
385,385,0,0,4294913145,
3,3,0,0,4294913146,
384,384,0,0,4294913146,
3,3,0,0,4294913147,
385,385,0,0,4294913147,
3,3,0,0,4294913148,
384,384,0,0,4294913148,
3,3,0,0,4294913149,
385,385,0,0,4294913149,
3,3,0,0,4294913150,
384,384,0,0,4294913150,
3,3,0,0,4294913151,
385,385,0,0,4294913151,
3,3,0,0,4294913152,
384,384,0,0,4294913152,
3,3,0,0,4294913153,
385,385,0,0,4294913153,
3,3,0,0,4294913154,
384,384,0,0,4294913154,
3,3,0,0,4294913155,
385,385,0,0,4294913155,
3,3,0,0,4294913156,
384,384,0,0,4294913156,
3,3,0,0,4294913157,
385,385,0,0,4294913157,
3,3,0,0,4294913158,
384,384,0,0,4294913158,
3,3,0,0,4294913159,
385,385,0,0,4294913159,
3,3,0,0,4294913160,
384,384,0,0,4294913160,
3,3,0,0,4294913161,
385,385,0,0,4294913161,
3,3,0,0,4294913162,
384,384,0,0,4294913162,
3,3,0,0,4294913163,
385,385,0,0,4294913163,
3,3,0,0,4294913164,
384,384,0,0,4294913164,
3,3,0,0,4294913165,
385,385,0,0,4294913165,
